"ly" Verbs		Length	|	Verbs	Length	|	Adjectives	Length	|	Nouns		Length	|	Superlatives	Length
                        |   hit		3       |
                        |   hem		3       |
                        |   gut		3       |
                        |   get		3       |
                        |   gag		3       |
                        |   fry		3       |
                        |   fly		3       |
                        |   fix		3       |
                        |   fit		3       |
                        |   fax		3       |
                        |   fan		3       |
                        |   eye		3       |
                        |   err		3       |
                        |   end		3       |
                        |   ebb		3       |
                        |   eat		3       |
                        |   dye		3       |
                        |   dub		3       |
                        |   dry		3       |
                        |   dot		3       |
                        |   don		3       |
                        |   dog		3       |
                        |   dip		3       |
                        |   dim		3       |
                        |   dig		3       |
                        |   die		3       |
                        |   dab		3       |
                        |   cut		3       |
                        |   cup		3       |
                        |   cry		3       |
                        |   con		3       |
                        |   cap		3       |
                        |   can		3       |
                        |   buy		3       |
                        |   bus		3       |
                        |   bug		3       |
                        |   box		3       |
                        |   bow		3       |
                        |   bob		3       |
                        |   bid		3       |
                        |   bet		3       |
                        |   beg		3       |
                        |   bat		3       |
                        |   bar		3       |
                        |   ban		3       |
                        |   bag		3       |
                        |   ask		3       |
                        |   arm		3       |
                        |   aim		3       |
                        |   ail		3       |
                        |   aid		3       |
                        |   age		3       |
                        |   add		3       |
                        |   act		3       |
                        |   up		2       |
                        |   go		2       |
                        |   do		2       |
                        |   be		2       |
                        |   ax		2       |
